,ID,YEAR,PRCP,TMAX,TMIN
0,USC00011694,1924,1466.0,23.433872526102558,10.41277816736793
1,USC00011694,1925,1225.0,25.00758512544805,11.220741167434717
2,USC00011694,1926,1600.8,23.5380859464661,10.462645112735494
3,USC00011694,1927,1107.9,25.502519311580773,11.701779733213272
4,USC00011694,1928,1261.2,23.326302681992342,10.117663144234339
5,USC00011694,1929,2129.9,23.253795163350222,10.944860750628274
6,USC00011694,1930,1062.9,23.43050243215566,10.140089605734767
7,USC00011694,1931,1116.7,23.992747695852533,9.924463645673324
8,USC00011694,1932,1583.6,24.259580706958342,11.651757199357313
9,USC00011694,1933,1067.4,25.0636917562724,12.183689836149517
10,USC00011694,1934,1521.6,24.27388376856119,11.789546210957498
11,USC00011694,1935,1155.3,24.706455453149008,11.80383960573477
12,USC00011694,1936,1623.4,24.89678593498949,11.861581386725996
13,USC00011694,1937,1536.4,24.590171530977983,11.883726958525344
14,USC00011694,1938,1395.7,25.48052419354839,11.960088325652846
15,USC00011694,1939,1627.4,25.104301075268808,11.796630184331788
16,USC00011694,1940,1657.0,23.25780404152762,10.345028735632178
17,USC00011694,1941,1279.7,24.710675510512363,11.743733469286859
18,USC00011694,1942,1433.1,24.0790156169995,10.898075396825396
19,USC00011694,1943,1185.3,24.66037762416794,10.90345174091141
20,USC00011694,1944,1362.3,24.904418489679895,11.59470368310469
21,USC00011694,1945,1626.3,25.056699308755757,11.915252816180233
22,USC00011694,1946,1659.8,24.562323988735276,11.970535714285718
23,USC00011694,1947,1756.9,23.516180235535074,11.261709549411167
24,USC00011694,1948,1799.3,23.878347083178834,11.469351903349391
25,USC00011694,1949,1467.7,24.129727982590882,11.650481950844856
26,USC00011694,1950,1394.5,23.466149513568883,11.157617767537124
27,USC00011694,1951,1469.4,24.01700588837687,10.963566948284699
28,USC00011694,1952,1187.0,24.355220306513406,10.589003522432337
29,USC00011694,1953,1438.6,24.287482718894008,10.591891961085514
30,USC00011694,1954,845.1,24.88260176651306,9.128867767537121
31,USC00011694,1955,1463.8,23.546696527888127,9.497143519254196
32,USC00011694,1956,1250.1,24.127940922012115,9.6057338400692
33,USC00011694,1957,1484.2,23.45324564772144,10.15013632872503
34,USC00011694,1958,1188.3999999999999,22.209491167434724,8.93185419866871
35,USC00011694,1959,1317.3,23.233130440348166,9.918723118279567
36,USC00011694,1960,1159.4,22.524725003089852,8.981173526140148
37,USC00011694,1961,1818.0,22.763391577060933,9.033941372247815
38,USC00011694,1962,1283.7,23.65608998975934,9.884921274961595
39,USC00011694,1963,1439.8,23.043534946236562,9.643387096774198
40,USC00011694,1964,1629.3,22.98530126066,10.07768817204301
41,USC00011694,1965,1417.2,23.412340629800294,10.636201996927804
42,USC00011694,1966,1356.1000000000001,22.87324820788531,10.078827444956472
43,USC00011694,1967,1478.2,22.978406298003076,9.90473054275474
44,USC00011694,1968,1097.4,22.887065566679027,9.211391051785936
45,USC00011694,1969,1298.8,22.763508064516117,9.814291474654379
46,USC00011694,1970,1431.0,23.029417562724007,10.021366487455198
47,USC00011694,1971,1945.9,23.280293778801845,10.45850102406554
48,USC00011694,1972,1615.2,23.52069428995181,10.706395686565322
49,USC00011694,1973,1698.4,23.464650537634416,10.439427803379408
50,USC00011694,1974,1520.0,24.052700663876976,9.729565235623355
51,USC00011694,1975,2095.7,23.43358486943163,9.756548259088587
52,USC00011694,1976,1643.6,22.9018295019157,8.188217154863429
53,USC00011694,1977,1472.8,23.7830888376856,9.554035458269329
54,USC00011694,1978,1130.5,23.692977470558123,8.403882488479276
55,USC00011694,1979,2061.6,22.836296722990266,9.24547235023041
56,USC00011694,1980,1412.0,23.55252440983809,9.522277839574835
57,USC00011694,1981,1357.4,23.413193804403488,9.212873143881207
58,USC00011694,1982,1648.3,23.97220494111623,10.564672939068101
59,USC00011694,1983,1882.6,22.710209972671958,9.364742786910018
60,USC00011694,1984,1338.2,24.23427203065135,9.770427635644548
61,USC00011694,1985,1197.3,23.528771761392733,10.727971070148493
62,USC00011694,1986,1328.0,24.396276881720425,10.932814260112652
63,USC00011694,1987,1256.175,24.471564644137228,10.863494504475868
64,USC00011694,1988,1184.35,24.546852406554024,10.794174748839097
65,USC00011694,1989,1112.525,24.6221401689708,10.724854993202326
66,USC00011694,1990,1040.7,24.697427931387608,10.655535237565548
67,USC00011694,1991,1851.3,23.165441628264208,11.119011136712748
68,USC00011694,1992,1542.6,22.405603139290577,9.862189469781235
69,USC00011694,1993,1175.9,22.61517770823156,9.806127786507844
70,USC00011694,1994,1473.3,22.87824756784435,10.415957501280074
71,USC00011694,1995,1229.5,23.484592933947752,10.36433819764464
72,USC00011694,1996,1454.1000000000001,22.518061735261416,9.736985848473607
73,USC00011694,1997,1405.3,22.427722094214023,10.104415002560161
74,USC00011694,1998,1330.0,23.877436991523016,11.439984788605017
75,USC00011694,1999,1443.1,23.879978238607265,10.468412058371738
76,USC00011694,2000,1054.9,23.735964034111976,10.039188295637127
77,USC00011694,2001,1505.0,23.08538316553056,10.119724028597782
78,USC00011694,2002,1382.7,23.12568835302012,10.690884095202778
79,USC00011694,2003,1573.9,22.23856588890655,10.3795390822254
80,USC00011694,2004,1395.1,22.75782288963046,11.002234272648623
81,USC00011694,2005,1759.5,23.078090978512275,10.456739609266029
82,USC00011694,2006,1394.95,24.08061955965182,10.485206093189962
83,USC00011694,2007,922.1,24.544898233486943,10.627341269841267
84,USC00011694,2008,1542.1,23.2449962921765,10.15622852552218
85,USC00011694,2009,2111.1,22.323552723926067,10.523191729787941
